SelltoCustomerNo_,No_,OnHold,Gen_Bus_PostingGroup,SelltoCustomerName,SelltoCountryRegionCode,c004_Instrument_Count,ColorStatusTxt
C-8036,O-07704,,SUB-CHI,,CN,1,
C-8492,O-07705,,CUSTOMER,,CN,1,
C-7736,O-07713,,DISTRIBUTOR,,TH,0,Green
C-7336,O-07716,,CUSTOMER,,US,1,
C-3498,O-07725,,CUSTOMER,,US,1,
C-8736,O-07729,,CUSTOMER,,US,1,Green
C-9841,O-07730,,CUSTOMER,,US,0,
C-2748,O-07732,,DISTRIBUTOR,,SE,0,
C-9036,O-07736,,CUSTOMER,,CN,1,
C-9236,O-07737,,DISTRIBUTOR,,SI,1,Blue
C-9336,O-07738,,CUSTOMER,,CN,1,
C-9637,O-07742,,CUSTOMER,,CN,1,
C-8861,O-07748,CMP,DISTRIBUTOR,,MY,0,
C-1276,O-07749,,SUB-CHI,,FR,0,
C-8914,O-07754,,SUB-CHI,,CN,1,
C-2931,O-07758,HFT,CUSTOMER,,CN,1,Blue
C-0237,O-07765,HFT,CUSTOMER,,EG,0,
C-7918,O-07766,,CUSTOMER,,US,1,
C-0537,O-07776,,CUSTOMER,,US,1,
C-1037,O-07781,ADM,DISTRIBUTOR,,PE,1,
C-8776,O-07786,,CUSTOMER,,IN,0,
C-0534,O-07788,ADM,CUSTOMER,,IL,2,
C-3162,O-07789,,DISTRIBUTOR,,MX,0,
C-0145,O-07791,,CUSTOMER,,US,0,
C-8776,O-07800,,SUB-IND,,IN,0,
C-6446,O-07802,,CUSTOMER,,US,0,
C-5832,O-07808,ADM,CUSTOMER,,US,0,
C-1722,O-07823,,CUSTOMER,,US,0,
C-8679,O-07824,,SUPPLIER,,US,0,
C-6116,O-07836,,CUSTOMER,,CN,0,
C-4521,O-07841,,WAR-PRT,,DE,0,
C-8913,O-07845,,CUSTOMER,,US,0,
C-2037,O-07852,,CUSTOMER,,US,1,Green
C-0663,O-07878,,CUSTOMER,,US,0,
C-3253,O-07879,,DISTRIBUTOR,,US,0,
C-5155,O-07887,,DISTRIBUTOR,,TW,0,
C-9691,O-07888,,DISTRIBUTOR,,JP,0,
C-9691,O-07889,,DISTRIBUTOR,,JP,0,
C-6776,O-07893,,DISTRIBUTOR,,ZA,0,
C-6386,O-07913,,SUPPLIER,,US,0,
C-8227,O-07914,,SUB-FRA,,FR,0,
C-4437,O-07937,,CUSTOMER,,US,1,Green
C-1898,O-07940,,SUB-NET,,NL,0,
C-4662,O-07958,,DISTRIBUTOR,,IT,0,
C-5237,O-07969,CMP,DISTRIBUTOR,,KZ,1,
C-7825,O-07979,,SUB-GER,,AT,0,
C-1935,O-07986,,WAR-PRT,,CH,0,
C-0097,O-07992,CMP,SUB-CHI,,CN,0,
C-0097,O-07993,,SUB-CHI,,CN,0,
C-0097,O-07996,,SUB-CHI,,CN,0,
C-0097,O-07997,,SUB-CHI,,CN,0,
C-8016,O-08002,,SUB-FRA,,FR,0,
C-9528,O-08006,,SUB-NET,,NL,0,
C-5937,O-08022,,CUSTOMER,,US,0,
,O-08024,,,,US,0,
C-7455,O-08026,,CUSTOMER,,CN,0,
C-4845,O-08030,,CUSTOMER,,US,0,
C-3162,O-08034,,DISTRIBUTOR,,MX,0,
